id;customer_business_code;fullname;custom_attributes_details_json;customer_status;activation_status;buyer_person_id
1;theater regular;festival religion;till alongside meh;WORKING;INVALID;1
2;loaf teenager;but;perfect skeletal;ONBOARDING;PENDENT;2
3;guzzle retract;greatly crest;piece;WORKING;BLOCKED;3
4;tasty wherever ;behind;slump;PENDENT;ACTIVE;4
5;ecstatic while;squeegee by rarely;whose circa;IN_FAILURE;ON_HOLD;5
6;gracefully mmm;loudly;fully conciliate legalise;PENDENT;INACTIVE;6
7;stimulating;plane within abnormally;fooey daily vague;ONBOARDING;INACTIVE;7
8;dazzling sulk a;trim;stigmatise;PENDENT;BLOCKED;8
9;doubtfully oh l;amidst;ick;WORKING;INVALID;9
10;absent likewise;vivaciously;yesterday likewise;IN_FAILURE;PENDENT;10
